"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Hispanic or Latino/a/x","Female","Planning and Community Office","42","56.48","T","Active"
"Asian","Female","Seattle Department of Transportation","31","62.50","R","Leave with Pay"
"Black or African American","Female","Immigration and Refugee Affairs","29","54.61","R","Active"
"Asian","Female","Seattle Municipal Courts","43","49.59","R","Active"
"White","Female","Legislative Department","33","37.11","T","Active"
"White","Female","Law Department","35","71.84","R","Active"
"Hispanic or Latino/a/x","Male","Office of the Inspector General for Public Safety","29","41.62","R","Active"
"Asian","Female","Human Resources","40","59.81","R","Active"
"Asian","Female","Seattle City Light","23","26.71","T","Active"
"Black or African American","Male","Parks and Recreation Department","24","25.98","T","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Library","29","37.61","R","Active"
"White","Male","Seattle Public Library","44","37.61","R","Active"
"White","Male","Parks and Recreation Department","51","50.23","R","Active"
"White","Male","Parks and Recreation Department","17","25.98","T","Active"
"White","Male","Parks and Recreation Department","51","36.63","R","Active"
"Black or African American","Male","Law Department","61","42.34","T","Active"
"White","Male","Legislative Department","27","62.30","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle City Light","22","28.44","T","Active"
"White","Female","Parks and Recreation Department","30","35.77","R","Active"
"White","Male","Seattle Police Department","39","49.78","R","Active"
"Asian","Male","Seattle Department of Transportation","36","76.46","R","Active"
"Black or African American","Male","Seattle Department of Transportation","32","47.54","R","Active"
"Black or African American","Female","Seattle Public Utilities","29","40.80","T","Active"
"Black or African American","Female","Planning and Community Office","37","65.00","R","Active"
"White","Female","Law Department","54","89.51","R","Active"
"Two or More Races","Female","Community Safety and Communication Center","29","39.88","R","Active"
"White","Male","Community Safety and Communication Center","41","39.88","R","Active"
"White","Male","Seattle Police Department","25","49.78","R","Active"
"Black or African American","Male","Seattle Police Department","35","49.78","R","Active"
"White","Male","Seattle Police Department","38","49.78","R","Active"
"Black or African American","Female","Law Department","28","54.40","R","Active"
"White","Male","Community Safety and Communication Center","23","39.88","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","48","28.30","R","Active"
"White","Male","Seattle Police Department","25","49.78","R","Active"
"White","Female","Community Safety and Communication Center","33","39.88","R","Active"
"Black or African American","Male","Seattle Police Department","36","60.87","R","Active"
"White","Male","Human Services","39","43.43","R","Active"
"White","Male","Parks and Recreation Department","33","32.31","T","Active"
"White","Female","Parks and Recreation Department","21","37.37","T","Active"
"Asian","Female","Seattle City Light","20","28.44","T","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","35","31.66","R","Active"
"Not Specified","Female","Construction and Inspections","23","35.61","T","Active"
"White","Male","Seattle Department of Transportation","43","39.21","R","Active"
"Asian","Male","Parks and Recreation Department","52","31.66","R","Active"
"Two or More Races","Female","Seattle City Light","21","21.78","T","Active"
"White","Female","Seattle Municipal Courts","40","36.92","R","Active"
"White","Female","Seattle Fire Department","32","36.92","R","Active"
"Black or African American","Male","Parks and Recreation Department","19","25.98","T","Active"
"Asian","Female","Seattle City Light","24","26.71","T","Active"
"Black or African American","Male","Seattle Department of Transportation","33","38.73","R","Active"
"White","Male","Parks and Recreation Department","17","25.98","T","Active"
"White","Female","Seattle Municipal Courts","46","36.92","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Parks and Recreation Department","42","31.66","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","41","39.21","R","Active"
"White","Female","Parks and Recreation Department","37","31.66","R","Active"
"Black or African American","Male","Office of Economic Development and Special Events Office","26","43.18","R","Active"
"Two or More Races","Male","Parks and Recreation Department","30","20.76","T","Active"
"White","Male","Seattle Department of Transportation","28","46.40","R","Active"
"Asian","Male","Parks and Recreation Department","29","30.86","R","Active"
"Black or African American","Female","Parks and Recreation Department","38","25.98","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","29","39.21","R","Active"
"Asian","Male","Parks and Recreation Department","47","31.66","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Parks and Recreation Department","27","31.66","R","Active"
"White","Male","Parks and Recreation Department","17","25.98","T","Active"
"Black or African American","Female","Parks and Recreation Department","37","63.47","R","Active"
"White","Female","Parks and Recreation Department","50","20.76","T","Active"
"White","Male","Seattle Public Utilities","42","41.15","T","Active"
"Two or More Races","Male","Finance and Administrative Service","22","47.66","R","Active"
"White","Male","Parks and Recreation Department","17","25.98","T","Active"
"White","Male","Parks and Recreation Department","18","25.98","T","Active"
"White","Female","Information Technology","41","82.20","R","Active"
"Asian","Female","Seattle City Light","20","21.78","T","Active"
"Asian","Male","Seattle City Light","22","28.44","T","Active"
"Two or More Races","Male","Finance and Administrative Service","30","35.02","R","Active"
"Asian","Female","Civil Rights Office","24","26.71","T","Active"
"Asian","Male","Parks and Recreation Department","57","31.66","R","Active"
"Black or African American","Female","Seattle City Light","32","27.16","R","Active"
"Black or African American","Female","Parks and Recreation Department","18","25.98","T","Active"
"Black or African American","Male","Parks and Recreation Department","40","58.47","R","Active"
"Asian","Female","Seattle City Light","47","26.71","T","Active"
"White","Male","Parks and Recreation Department","53","25.98","T","Active"
"White","Female","Seattle City Light","33","25.98","T","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","25","34.65","R","Active"
"Two or More Races","Female","City Budget Office","36","66.89","R","Active"
"White","Male","Seattle Police Department","29","49.78","R","Active"
"Hispanic or Latino/a/x","Male","Parks and Recreation Department","17","25.98","T","Active"
"Black or African American","Male","Parks and Recreation Department","30","25.98","T","Active"
"Two or More Races","Male","Parks and Recreation Department","17","25.98","T","Active"
"Asian","Male","Parks and Recreation Department","31","25.98","T","Active"
"White","Male","Seattle Police Department","38","49.78","R","Active"
"Two or More Races","Male","Seattle Police Department","25","49.78","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","52","49.78","R","Active"
"Black or African American","Female","Information Technology","23","26.71","T","Active"
"White","Male","Seattle City Light","47","49.46","R","Active"
"White","Male","Seattle Public Utilities","27","41.15","T","Active"
"White","Male","Seattle Police Department","22","49.78","R","Active"
"Asian","Male","Seattle Police Department","25","49.78","R","Active"
"Asian","Female","Human Services","38","41.07","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","33","49.78","R","Active"
"Black or African American","Male","Neighborhoods","38","59.34","R","Active"
"Hispanic or Latino/a/x","Female","Legislative Department","29","52.68","R","Active"
"White","Female","Seattle Department of Transportation","33","64.47","R","Active"
"White","Male","Parks and Recreation Department","35","30.86","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Police Department","57","32.53","R","Active"
"White","Female","Seattle Police Department","36","47.54","R","Active"
"White","Female","Seattle Police Department","59","106.52","R","Active"
"White","Male","Sustainability and Environment","40","68.03","R","Active"
"White","Female","Civil Rights Office","22","26.71","T","Active"
"Asian","Male","Seattle Public Utilities","63","33.13","T","Active"
"White","Male","Parks and Recreation Department","40","20.76","T","Active"
"Black or African American","Female","Seattle Municipal Courts","39","36.92","R","Active"
"Black or African American","Male","City Budget Office","42","85.00","R","Active"
"Asian","Male","Human Services","26","43.43","R","Active"
"Two or More Races","Male","Seattle Public Utilities","35","31.71","T","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","28","33.59","R","Active"
"White","Female","Seattle Public Utilities","31","62.48","R","Active"
"Asian","Female","Parks and Recreation Department","28","25.98","R","Active"
"Hispanic or Latino/a/x","Female","Law Department","50","51.29","R","Active"
"White","Male","Seattle City Light","24","61.52","R","Active"
"Black or African American","Male","Parks and Recreation Department","34","25.98","T","Active"
"Black or African American","Male","Seattle City Light","44","60.15","R","Active"
"White","Male","Seattle City Light","56","60.00","R","Active"
"Two or More Races","Female","Parks and Recreation Department","17","25.98","T","Active"
"Black or African American","Female","Seattle Public Library","32","37.61","R","Active"
"Asian","Female","Seattle City Light","25","26.71","T","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle City Light","30","26.71","T","Active"
"White","Female","Seattle City Light","23","26.71","T","Active"
"White","Male","Parks and Recreation Department","35","25.98","T","Active"
"White","Female","Legislative Department","38","74.23","R","Active"
"White","Female","Parks and Recreation Department","17","25.98","T","Active"
